id,week,power_m,merits_m
DEMO01,1,17.3,0.5
DEMO01,2,20.8,1.8
DEMO01,3,27.2,3.5
DEMO01,4,33.7,6.2
DEMO01,5,37.1,9.0
DEMO01,6,41.6,11.5
DEMO01,7,45.5,13.2
DEMO01,8,48.5,14.2
DEMO02,1,15.3,0.4
DEMO02,2,19.1,1.5
DEMO02,3,23.9,3.0
DEMO02,4,28.7,5.2
DEMO02,5,32.5,7.8
DEMO02,6,36.4,9.5
DEMO02,7,39.2,10.8
DEMO02,8,42.1,11.8
DEMO03,1,13.9,0.3
DEMO03,2,17.4,1.2
DEMO03,3,22.4,2.8
DEMO03,4,25.9,4.8
DEMO03,5,29.8,7.0
DEMO03,6,33.8,8.5
DEMO03,7,36.8,9.8
DEMO03,8,39.8,10.5
DEMO04,1,13.6,0.21
DEMO04,2,17.2,1.07
DEMO04,3,21.8,2.35
DEMO04,4,25.0,4.27
DEMO04,5,28.1,6.2
DEMO04,6,31.8,7.69
DEMO04,7,34.5,8.65
DEMO04,8,37.2,9.4
