id,name,role,title,power,merits,weekly,quota,kd,offense,survivability,rally,merit,mobility,activity
DEMO01,Tradgick,R5,King / Leader,48500000,14200000,1850000,10000000,4.8,96,92,95,98,88,97
DEMO02,Ares,R4,Rally Captain,42100000,11800000,1420000,9000000,4.1,94,90,98,92,84,95
DEMO03,Valkyrie,R4,Open Field Specialist,39800000,10500000,1210000,8500000,3.9,90,88,82,94,96,92
DEMO04,ShadowK,R4,Garrison Anchor,37200000,9400000,980000,8000000,3.5,86,95,88,88,80,90
DEMO05,Ironclad,R3,,34100000,8200000,890000,7500000,3.1,,,,,,
DEMO06,Phoenix,R3,,31500000,7600000,740000,7000000,2.9,,,,,,
DEMO07,SlayerX,R3,,29000000,6900000,650000,7000000,2.7,,,,,,
DEMO08,Titan,R3,,28400000,6100000,580000,6500000,2.4,,,,,,
DEMO09,Ghost,R3,,26100000,5400000,490000,6500000,2.1,,,,,,
DEMO10,Blaze,R3,,24500000,4800000,410000,6000000,1.8,,,,,,
